2022-08-27 20:15:36,301 训练次数：12 , loss :2.563382863998413
2022-08-27 20:15:36,303 训练次数：13 , loss :2.558953046798706
2022-08-27 20:15:36,305 训练次数：14 , loss :2.5614001750946045
2022-08-27 20:15:36,307 训练次数：15 , loss :2.562495231628418
2022-08-27 20:15:36,309 训练次数：16 , loss :2.5591979026794434
2022-08-27 20:15:36,312 训练次数：17 , loss :2.562836170196533
2022-08-27 20:15:36,315 训练次数：18 , loss :2.5582633018493652
2022-08-27 20:15:36,318 训练次数：19 , loss :2.5640501976013184
2022-08-27 20:15:36,321 训练次数：20 , loss :2.562631368637085
2022-08-27 20:15:36,323 训练次数：21 , loss :2.5683276653289795
2022-08-27 20:15:36,325 训练次数：22 , loss :2.5642194747924805
2022-08-27 20:15:36,328 训练次数：23 , loss :2.566840648651123
2022-08-27 20:15:36,330 训练次数：24 , loss :2.5630133152008057
2022-08-27 20:15:38,920 --------------第2轮训练开始--------------
2022-08-27 20:15:41,045 训练次数：1 , loss :2.5590157508850098
2022-08-27 20:15:41,047 训练次数：2 , loss :2.5573480129241943
2022-08-27 20:15:41,050 训练次数：3 , loss :2.565509557723999
