56,2022/8/22 22:38:18,299秒,手机提交,直接访问,111.26.2.187(吉林-延边),1,1,2,1,8,3,(空),3,3,1,3,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3,5,4,4,3,4,4,3,2,4,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,3,2,2,3,3,2,3,3,4,4,3,3,4,3,4,2,2,5,3,3,1,1,1,1,1,2,3,4,3,3,3,3,4,4,3,4,3,4,266
57,2022/8/22 22:38:19,283秒,手机提交,直接访问,111.26.2.142(吉林-延边),2,2,2,2,8,4,(空),4,3,2,3,2,4,3,4,3,1,2,2,3,3,1,3,4,3,4,4,3,4,4,3,3,3,3,4,4,3,4,1,4,3,4,3,3,4,4,2,4,3,4,4,4,3,4,3,4,4,3,4,3,3,4,3,3,2,4,4,3,4,3,4,4,4,3,4,4,4,4,3,4,4,3,3,4,3,2,4,3,3,2,3,280
58,2022/8/22 22:38:25,254秒,手机提交,直接访问,111.26.3.232(吉林-四平),2,3,2,2,8,1,(空),2,1,2,2,2,4,3,4,4,4,3,4,4,3,4,3,3,5,4,5,5,3,3,5,5,2,1,5,4,4,4,4,4,3,4,5,4,5,4,3,3,4,2,3,3,3,2,3,2,5,5,1,4,3,4,4,4,3,2,5,3,2,3,3,4,3,5,3,1,3,3,5,2,1,2,1,1,2,4,4,4,4,4,4,277
59,2022/8/22 22:38:31,385秒,手机提交,直接访问,111.26.3.98(吉林-四平),1,3,2,1,8,1,(空),3,4,3,2,3,3,4,4,2,3,2,4,5,3,2,4,3,4,5,5,3,4,4,3,5,4,1,4,1,1,1,3,4,3,4,3,3,5,5,3,1,3,4,5,2,1,1,1,1,1,2,2,3,4,4,4,3,4,4,4,5,5,3,3,4,5,3,3,3,2,4,5,2,2,1,3,1,1,5,5,4,4,5,5,269
60,2022/8/22 22:38:32,348秒,手机提交,直接访问,111.26.2.165(吉林-延边),1,3,3,2,8,2,(空),4,2,3,4,4,4,3,3,4,4,3,4,2,4,4,3,2,4,4,4,2,4,4,5,5,2,3,5,3,3,3,4,4,2,3,4,3,4,3,2,3,4,2,2,3,3,3,4,4,3,3,2,3,3,2,4,3,2,4,3,3,4,4,3,4,3,4,4,2,3,5,4,3,4,5,4,4,3,5,4,5,4,4,5,288
61,2022/8/22 22:38:40,404秒,手机提交,直接访问,111.26.3.86(吉林-四平),1,1,6,1,8,3,计算机网络,4,4,2,4,4,2,4,4,4,4,2,3,4,4,2,4,4,4,4,4,3,3,4,3,4,2,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,2,2,3,4,4,4,3,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,307
62,2022/8/22 22:39:18,273秒,手机提交,直接访问,111.26.3.73(吉林-四平),1,3,5,2,8,1,(空),4,4,1,2,4,4,5,5,5,4,2,4,5,5,1,4,4,4,4,5,5,5,5,5,5,2,4,5,4,4,4,1,5,4,5,5,5,5,3,2,3,3,4,5,5,4,4,4,5,5,5,2,3,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,3,5,5,5,3,4,4,5,5,5,5,5,5,5,5,360
63,2022/8/22 22:39:19,378秒,手机提交,直接访问,111.26.2.126(吉林-延边),2,1,6,2,8,2,(空),3,4,3,3,2,2,3,2,3,2,2,2,2,3,2,3,3,4,2,2,2,2,3,2,2,2,4,3,3,3,3,2,4,4,3,2,2,4,4,3,3,4,4,4,4,3,2,3,2,4,2,2,2,3,4,3,3,4,2,4,4,3,3,4,4,4,4,3,2,3,3,3,2,2,3,2,3,3,4,2,3,4,4,3,248
64,2022/8/22 22:39:25,450秒,手机提交,直接访问,202.98.17.135(吉林-长春),1,3,2,1,8,1,工图,4,5,4,5,4,3,4,5,4,4,3,4,3,5,4,5,5,5,5,4,4,5,5,5,5,3,4,5,4,4,5,2,4,5,5,4,5,5,5,4,3,5,4,3,4,4,4,5,5,5,5,4,5,5,4,4,5,4,2,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5,4,3,4,5,5,5,5,4,5,5,371
65,2022/8/22 22:39:34,275秒,手机提交,直接访问,111.26.2.155(吉林-延边),1,3,2,2,8,3,(空),5,4,1,2,1,3,4,4,4,1,1,3,4,4,1,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,1,4,3,4,3,2,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,5,4,2,4,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,5,303
67,2022/8/22 22:39:54,343秒,手机提交,直接访问,111.26.3.233(吉林-四平),1,2,5,2,8,1,操作系统，数据库系统原理，统一建模语言,5,5,3,4,4,3,5,3,5,4,1,4,5,5,4,5,5,5,5,5,5,5,5,5,5,2,4,5,3,5,5,1,5,2,3,4,5,4,5,4,4,4,2,5,4,4,4,5,3,5,5,5,5,4,2,4,5,3,5,3,5,5,4,2,5,5,5,5,2,4,5,5,2,4,2,4,5,3,5,5,5,5,5,5,354
